Arabic,English,Arabic Pl,English Pl,Example
أعضاء الوفود,delegates,,,
التصفية المتعمدة,delibrate killing,,,
حس مرهف,delicate taste,,,صفات الفن: * وإبداع وقدرة على الخلق
خيط الأسنان,dental floss,,,
طبيب أسنان,dentist,,,
أبناء معالون,dependent children,,,
منوط ب,dependent on,,,
محروم من,deprived of,,,
تضليل العدالة,derailing justice,,,
إزالة الملوحة,desalination,,,
تحلية مياه,desalination,,,
رغبة في,desire for,رغبات في,desires for,
تخريب الاقتصاد,destroying the economy,,,
إزالة السموم,detoxification,,,
الدول المتقدمة,developed countries,,,
دول نامية,developing countries,,,
عابد الشيطان,devil worshipper,عبدة الشيطان,devil worshipers,هو من عبدة الشيطان
مرض السكري,diabetes,,,
حفاظ أطفال,diaper,,,
حجاب حاجز,diaphram,,,
الخيار الصعب,difficult choices,,,
خلل صوتي,difficulty with the audio,,,
غرفة طعام,dining room,,,
مائدة سُفرة,dinner table,,,على
طرق دبلوماسية,diplomatic channels,,,
مسارات دبلوماسية,diplomatic channels,,,
السلك الدبلوماسي,diplomatic corps,,,
الإعفاء الدبلوماسي,diplomatic exemption,,,
شرفة دبلوماسية,diplomatic gallery,,,
حصانة دبلوماسية,diplomatic immunity,,,
حقيبة دبلوماسية,diplomatic pouch,,,
روابط دبلوماسية,diplomatic ties,,,
عواقب وخيمة,dire consequences,,,
نقطة خلاف,disagreement,نقاط خلاف,disagreements,
نزع السلاح,disarmament,,,
إدارة الكوارث,disaster management,,,
لجنة الانضباط,disciplinary commission,,,
معاملة تمييزية,discriminatory treatment,,,
مشمئز من,disgusted by,,,
مثير للاشمئزاز,disgusting,,,
غسّالة صحون,dishwasher,,,
خلع عظم,dislocation,,,
حل البرلمان,dissolution of parliament,,,
بشكل متميز,distinctly,,,
مكانة متميزة,distinguished position,,,
منطقة منكوبة,distressed area,,,
الحمض النووي,DNA,,,
قفص الإتهام,dock,,,
مسلّمة فكرية,dogma,,,
العنف المنزلي,domestic violence,,,
مَقبض الباب,doorknob,,,
عميل مزدوّج,double agent,,,
ازدواجية المعايير,double standard,,,
الكيل بمكيالين,double standard,,,
استخلاص النتائج,drawing conclusions,,,
جهاز التنشيف,drier,,,
طائرة مسيّرة,drone,الطائرات المسيّرة,drones,
إدمان مخدرات,drug addiction,,,
مقلب قمامة,dump,,,
عاصفة ترابية,dust storm,,,
عاصفة غُبارية,dust storm,,,
متلهف ل,eager to,,,المساعدة في
طبلة الأذن,eardrum,طبلات | طُبَل الأذن,eardrums,
آنية خزفية,earthenware,,,
بنت وردان,earthworm,,,
صمغ أذني,earwax,,,
القدس الشرقية,East Jerusalem,,,
عيد القيامة,Easter,,,
رياح شرقية,easterlies,,,
مد وجزر,ebb and flow,,,
مناخ بيئي,ecoclimate,,,
عالم بيئة,ecologist,,,
علم البيئة,ecology,,,
التفاوت الاقتصادي,economic inequality,,,
التعافي الاقتصادي,economic recovery,,,
نظام بيئي,ecosystem,نظم بيئية,ecosystems,
سياسة التعليم,educational policy,,,
ثعبان البحر,eel,,,
صَفار البيضة,egg yolk,,,
عيد الأضحى,Eid al-Adha,,,
عيد الفطر,Eid al-Fitr,,,
يوم الانتخاب,election day,,,
تزوير الانتخابات,election fraud,,,
الدعاية الانتخابية,electioneering,,,
دعاية انتخابية,electoral propaganda,,,
جمهور الناخبين,electorate,,,
عصا كهربائية,electric rod,,,
مؤهل ل,eligible for,,,
خجلان من,embarassed about,,,
موظفو السفارة,embassy staff,,,
هيئة السفارة,embassy staff,,,
سُدة شريانية,embolism,,,
تمويل طارئ,emergency funding,,,
الأسواق الناشئة,emerging markets,,,
الهجرة النازحة,emigration,,,
تجارة الانبعاثات,emission trading,,,
التقمص العاطفي,empathy,,,
التقمص العاطفي,empathy,,,
أرباب العمل,employers,,,
شعار أجوف,empty promise,,,
خالي الوفاض,empty-handed,,,
مهدد بالانقراض,endangered,,,الأنواع
مرض متوطن,endemic disease,,,
محو الأمية,ending illiteracy,,,
الزواج الداخلي,endogamy,,,
زواج الأقارب,endogamy,,,
حُقنة شرجية,enema,حُقَن شرجية,enemas,
هائم بامرأة,enfatuated with a woman,,,أخي * سبق لها الزواج مرتين.
مسؤولية جسيمة,enormous responsibility,,,
أرباح طائلة,enourmous profits,,,
أرباح هائلة,enourmous profits,,,
محترف الترفيه,entertainer,,,
رائد أعمال,entrepreneur,روائد أعمال,entrepreneurs,
صديق للبيئة,environmentally friendly,,,
ملحمة شعرية,epic poem,,,
مرض وبائي,epidemic disease,,,
لسان المزمار,epiglottis,,,
دراسة المناخ,ES,,,
عنف متصاعد,escalating violence,,,
التخابر مع,"espionage, collaborating with",,,
التطهير العرقي,ethnic cleansing,,,
مجموعة عرقية,ethnic group,مجموعات عرقية,ethnic groups,
أقلية عرقية,ethnic minority,,,
علم الأعراق,ethnology,,,
أجوبة متملصة,evasive answers,,,
أجوبة مراوغة,evasive answers,,,
كل يوم,every day,,,
كل يومين,every other day,,,
دليل على,evidence of,أدلّة على,evidence (pl) of,
علاقات متميزة,excellent relations,,,
نتائج متميزة,excellent results,,,
خدمة متميزة,excellent service,,,
ما خلا,except for,,,
حصريا على,exclusively on,,,
عذر ل,excuse for,أعذار ل,excuses for,
تمارين رياضية,exercise,,,
الزواج الخارجي,exogamy,,,
زواج الأباعد,exogamy,,,
أسعار باهظة,exorbitant prices,,,
منتهية الصلاحية,expired,,,مواد غذائية *
أسرة ممتدة,extended family,,,
تمديد مدة,extension of the,,,
ظروف مخففة,extenuating circumstances,,,
القضاء على,exterminating,,,
فصائل منقرضة,extinct species,,,
غلاء فاحش,extremely high prices,,,
قدرة فائقة,extroardinary ability,,,
مُقلة العين,eyeball,مُقَل العين,eyeballs,
حاجب العين,eyebrow,حواجب العين,eyebrows,
زيت الخروع,eyeliner,,,
ظلال العيون,eyeshadow,,,
شاهد عيان,eyewitness,شهود عيان,eyewitnesses,
مجابهة تحدّيات,facing challenges,,,
معلومات جامدة,factual information,,,
انتخابات نزيهة,fair elections,,,
الأمر الواقع,fait accompli,,,
وعود زائفة,false promises,,,طالب جميع العمال بعدم الاسياق خلف * من الإدارة
شهادة الزور,false testimonyperjury,,,
الإلمام ب,familiarity with,,,الإلمام بكافة الاحداث الجارية
التفكك الأسري,family disintegration,,,
تنظيم الأسرة,family planning,,,
أسئلة شائعة,FAQ,,,
أسئلة متكررة,FAQ,,,
الرقعة الزراعية,Farmland,,,زيادة
دراسة جدوى,Feasibility study,,,
التغذية الراجعة,feedback,,,
ختان الإناث,female circumcision,,,
الحركة النسائية,feminism,,,
بويضة ملقّحة,fertilized egg,,,
مقاومة شرسة,fierce resistance,,,
مكافحة الجريمة,fighting crime,,,
التصدى للإخلاء,fighting eviction,,,كيفية * باستخدام أليات القانون المحلى
حفظ الملفات,filing,,,
مستشار مالي,financial advisor,,,
أصول مالية,financial assets,,,
عبء مالي,financial burden,,,
تعويضات مالية,financial compesation,,,
ظروف مالية,financial situation,,,
الفنون التشكيلية,fine arts,,,
كرة نارية,fire ball,,,
سلاح ناري,firearm,,,
رجل مطافئ,fireman,,,
ألعاب نارية,fireworks,,,
إسعافات أولية,first aid,,,
الأول والأهم,First and foremost,,,
مصائد أسماك,fisheries,,,
صيد أسماك,fishery,مصائد أسماك,fisheries,
قنبلة إنشطارية,fission bomb,,,
قبضة اليد,fist,,,
غرفة القياس,fitting room,,,
خرق صارخ,flagrant violation,,,مثّل * للقوانين الدولية
قابل للاشتعال,flammable,,,الغازات القابلة للاشتعال
مضيف جوي,flight attendant,,,
النباتات والحيوانات,flora and fauna,,,
أصيص الزهور,flowerpot,أُصُص الزهور,flowerpots,
الرعاية اللاحقة,follow up,,,
لجنة المتابعة,follow-up committee,,,
عَقبَ الاجتماع,following the meeting,,,قال عقب الاجتماع
سؤال متابع,followup question,,,
تسمم الطعام,food poisoning,,,
كسب قوت,food to eat,,,
النفايات الغذائية,food waste,,,
أهبل، هبلاء,foolish,هُبل,fools,
عبيط، عبطاء,foolish,,,
الحمى القلاعية,Foot and Mouth Disease,,,
لعدّة أسباب,for a few reasons,,,
منذ مدة,for a while,,,وفاته كانت متوقعة
مثال ذلك,for example,,,
للتوضيح فقط,for the record,,,
لتلقّي العلاج,for treatment,,,نقل إلى المستشفى *
لسهولة الرجوع,for your reference,,,صورة مرفقة *
سبب قاهر,force majeure,,,
الإخلاء القصري,forced eviction,,,
المساعدات الخارجية,foreign aid,,,
الطب الجنائي,forensic medicine,,,
الطب الشرعي,forensic medicine,,,
طبيب شرعي,forensic physician,,,
حريق الغابات,forest fire,,,
علم التحريج,forestry,,,
علم الغابات,forestry,,,
إعلان رسمي,formal announcement,,,
رسميا ووديا,formally and informally,,,
نفاذ البصيرة,forsight,,,
الوقود الحفري,fossil fuel,,,
آباء بالتبنى,foster parents,,,
قائم على,founded on,,,إن الأمل * أساس التعاون
ضربة حرة,free kick,,,
حرية التجمع,freedom of assembly,,,
حرية الرأي,freedom of opinion,,,
حرية الأديان,freedom of religion,,,
حرية الاعتقاد,freedom of religion,,,
حرية الصحافة,freedom of the press,,,
الطرق الدائرية,freeways,,,السياسات التي تعطي الاولية ل*
درجة الجَمد,freezing point,,,
المياه العذبة,freshwater,,,
نيران صديقة,friendly fire,,,
من منظور,from the perspective of,,,من منظور الشمس يبدو كأن
محبط من,frustrated by,,,
سحقا له,fuck him,,,
تأجيج الصراع,fueling the conflict,,,
الوفاء بالمعايير,fulfilling the requirements,,,
ملئ بـ,full of,,,
حقوق أساسية,fundamental rights,,,
في صميمه,fundamentally,,,
مجموعة الثماني,G8,,,
جندي باسل,gallant soldier,جنود بواسل,gallant soldiers,
جمع القمامة,garbage collection,,,
حُمى معدية,gastric fever,,,
حَشد التأييد,gathering support,,,قام بجهود *
مثلي الجنس,gay,مثليون جنسيا,gay people,
النوع الإجتماعي,gender,,,
فريق أول,general,,,
عفو عام,general amnesty,,,
الموافقة العامة,general consent,,,
الأمانة العامة,general secretariat,,,للحزب الوطني
توليد الطاقة,generating power,,,
مرض وراثي,genetic disease,,,
الطفرات الجينية,genetic mutations,,,
إبادة الجنس,genocide,,,
تابع للمسنين,geriatric,,,
حكم المسنين,gerontocracy,,,
إنجاز أشياء,getting things done,,,
الطلاب النابغين,Gifted students,,,
التهاب اللثة,gingivitis,,,
بلّغه سلامي,give him my best wishes,,,
أخذ ورد,give-and-take,,,
التغليب على,giving priority to,,,
علم الجليديات,glaciology,,,
وجه مربّد,gloomy expression,,,على رأسه طاقية تحتها *
نصر مجيد,glorious victory,,,
ضربة مرمى,goal kick,,,
حارس المرمى,goalkeeper,,,
حاشا لله,God forbid,,,
متوجّهاً إلى,going to,,,
الجمعة الحزينة,Good Friday,,,
الجمعة العظيمة,Good Friday,,,
الحوكمة الرشيدة,good governance,,,
حسن النية,good intentions,,,
أخبار سارّة,good news,,,
المساعي الحميدة,good offices,,,
الأعمال الطيبة,good works,,,
مرافق حكومية,government facilities,,,
تدخل الحكومة,government intervention,,,
الإصلاح المتدرج,gradual change,,,
الإجمالى الكلى,grand total,,,
الوقوف والتبجح,grandstanding,,,
فرس النبي,grasshopper,,,
علاقة قاعدية,grassroots relationship,,,خلق * جديدة مع
جبنة مبشورة,grated cheese,,,
خطر جدي,grave danger,أخطار جدية,grave dangers,
شعر دُهني,greasy hair,,,
فوائد عظيمة,great benefits,,,
تاريخ عريق,great history,,,
نصر عظيم,great victory,,,
ثروة هائلة,great wealth,,,
المسطحات الخضراء,green spaces,,,إقامة الحدائق و*
أكثر اخضرارا,greener,,,
غازات الدفيئة,greenhouse gases,,,
تحيةً طيبةً,greetings,,,
صمود وتصميم,grit and determination,,,رواد الفضاء ورياضيينا
أسنان محززة,grooved teeth,,,
اللحم المفروم,ground beef,,,
المياه الجوفية,ground water,,,
توتّر متصاعد,growing tension,,,
كفيل ب,guaranteeing,,,
أولو الأمور,guardians,,,
طلقة نارية,gunshot,,,
قص الشعر,haircut,,,
مصفف شعر,hairdresser,,,
مجفف الشعر,hairdryer,,,
تسريحة الشعر,hairstyle,,,
لمسة يد,handball,,,
العملة الصعبة,hard currency,,,
قُرص صُلب,hard disk,,,
محرك صلب,hard drive,,,
الأشغال الشاقة,hard labor,,,
حجر صَلد,hard rock,,,
عتاد الصلب,hardware,,,
مكوّنات صلبة,hardware,,,
تناغم الأصوات,harmony,,,
معاملة خشنة,harsh treatment,,,
معاملة قاسية,harsh treatment,,,
طاب يومك,have a nice day,,,
تفضلوا بالجلوس,have a seat,,,
حُمى القش,hay fever,,,
التنبؤ بالخطر,hazard prediction,,,
فليشرب البحر,he can go to hell,,,
اردف قائلا,"he continued, """,,,
بيّض وجهي,he did me credit,,,
لاذ بالصمت,he fell silent,,,
دهسه قطار,he got hit by a train,,,
جاء لتوّه,he has just arrived.,,,
خُيّل له,he imagined,,,
يتشبث للحياة,he is clinging to life,,,
وصل لتوّه,he just arrived,,,
سوّد وجهه,he let him down,,,
أثبت وجوده,he made his presence felt,,,
أُغمي عليه,he passed out,,,
دعا لهم,he prayed for them,,,
قال بوجوم,"he said, despondently",,,
قال بخبث,"he said, nastily",,,
هز كتفيه,he shrugged,,,
جلس القرفصاء,he squatted,,,
خاب أمله,he was disappointed,,,
قُتل بأيدي,he was killed by,,,
قوبل بمظاهرات,he was met by protests,,,
انعقد لسانه,he was speechless,,,
تصبب عرقا,he was sweating bullets,,,
سيتولى الأمر,he will take care of it,,,
فقد صوابه,he's gone insane,,,
شعره غزير,he's hairy,,,
رئيس المخابرات,head of intelligence,,,
رب الأسرة,head of the household,,,
رؤساء الوفود,heads of delegations,,,
لملمة الجراح,healing wounds,,,مصر تحتاج ل*، والتعلم من خطايا الماضى
الرعاية الصحية,health care,,,
تأمين صحي,health insurance,,,
أزمة قلبية,heart attack,,,
الذبحة الصدرية,heart attack,,,
سكتة قلبية,heart attack,,,
نوبة قلبية,heart attack,,,
قصور القلب,heart failure,,,
خفقان القلب,heart palpitation,,,
دَقة القلب,heartbeat,,,
صراع محتدم,heated conflict,,,
المدفعية الثقيلة,heavy artillery,,,
خسائر فادحة,heavy losses,,,
أمطار غزيرة,heavy rains,,,
غرامة مرتفع,"hefty fine, large fine",,,
وريث العرش,heir to the throne,,,
تسلسل هرمي,heirarchy,,,
التهاب كبدي,hepatitis,,,
انفغر فمها,her jaw dropped,,,
خذلت إرادتها,her will failed her,,,
مبيدات الحشائش,herbicides,,,
آكلات العشب,herbivorous,,,
توريث الحكم,hereditary succession of power,,,
عمل بطولي,heroic act,,,
عمارات شاهقة,high rises,,,بعد هدم دور السينما وبناء * بدلا منها
الخيانة العظمى,high treason,,,
مفصل الفخذ,hip,,,
فرس النهر,hippo,أفراس النهر,hippos,
أشقاؤه وشقيقاته,his brothers and sisters,,,
سائر جسده,his entire body,,,
سيادة الرئيس,his excellency the president,,,
أدبه الجم,his excellent manners,,,لم يغب عني *
مثواه الأخير,his final resting place,,,دفن في مثواه الأخير
جلالة الملك,his majesty the king,,,
ألد أعدائه,his mortal enemies,,,كَانَ مِنْ أَلَدِّ أعْدَائِهِ
صاحب السمو,his royal highness,,,
مستحقاته المالية,his salary,,,خلاف مع الإدارة حول زيادة *
مغزى تاريخي,historical significance,,,
التاريخ يُخبرنا,history tells us,,,
قبل الآن,hitherto,,,
لحد الآن,hitherto,,,
صوت أبحّ,hoarse voice,,,
إجراء انتخابات,holding elections,,,
تنظيم انتخابات,holding elections,,,
خَوض انتخابات,holding elections,,,
محاسبة شخص,holding so accountable for,,,
الأسبوع العظيم,Holy Week,,,
الصفحة الرئيسية,home page,,,
انعدام المأوى,homelessness,,,
الإنسان المنتصب,Homo erectus,,,وهي أول سلالة بشرية عرف عنها أنها تحكمت في النيران
رُهاب المثلية,homophobia,,,
المثلية الجنسية,homosexuality,,,
شهر العسل,honeymoon,,,
جريمة شرف,honor crime,جرائم شرف,honor crimes,
قنصل فخري,honorary consul,,,
على أمل,hoping to,,,انقاذ حياتهم
عنصورية مَقيتة,horrible racism,,,في مصر لدينا *
ركوب الخيل,horseback riding,,,
صاحب الضيافة,host,,,
مقدم البرنامج,host,,,
بؤرة الإرهاب,hotbed of terrorism,بؤَر الإرهاب,hotbeds of terrorism,
الإقامة الجبرية,house arrest,,,
كم تبقّى؟,how much longer?,,,
الحضارة البشرية,human civilization,,,
الكرامة الإنسانية,human dignity,,,
التاريخ البشري,human history,,,
تاريخ البشرية,human history,,,
القوى البشرية,human resources,,,
الموارد البشرية,human resources,,,
حقوق الإنسان,human rights,,,
الاتّجار بالبشر,human trafficking,,,
هزيمة شائنة,humiliating defeat,,,
هزيمة مُخزية,humiliating defeat,,,
هزيمة نكراء,humiliating defeat,,,
الصحة العامة,hygiene,,,
مد البَصَر,hyperopiafarsightedness,,,
استئصال الرحم,hysterectomy,,,
أشاركك الرأي,I agree with you,,,
أجزِم أن,I am confident that,,,
أقدّر ذلك,I appreciate it,,,
بالكاد أعرفه,I barely know him,,,
أستميحك عذرا,I beg your pardon,,,
رأيت كابوسا,I had a nightmare,,,
أنا مزكوم,I have a cold,,,
أسمعك بوضوح,I hear you loud and clear,,,
أمسكت لساني,I held my tongue,,,أوشكت أن أقول له لكن *
عساك بخير,I hope you are well,,,
هززت رأسي,I nodded,,,
رأيت بعيني,I personally saw,,,
أستقرت أموري,I settled down,,,
يا ترى,I wonder,,,
سأختصر الموضوع,I'll make it quick,,,
سأنجو بنفسي,I'll save myself,,,
أخشى ذلك,I'm afraid so,,,
للأسف أقول,I'm sorry to say,,,
العصر الجليدي,ice age,,,
غطاء جليدي,ice cap,,,
عبوة ناسفة,IED,,,
بمشيئة الله,if God wills,,,
عند الضرورة,if necessary,,,
مخالف للقانون,illegal,,,
ولد الزناء,illegitimate child,,,
الهجرة الوافدة,immigration,,,
خطورة داهمة,imminent danger,,,التي تمثل حالات * على حياة المواطنين
خالد الذكر,immortal,,,
تقييم التأثير,impact assessment,,,البيئي
غير متحيز,impartial,,,إجراءات مناسبة و(غير متحيزة)
مفروض على,imposed on,,,
تجميل صورة,improving the image of,,,
سلوك مندفع,impulsive behavior,,,
باختصار شديد,"in a few words, essentially",,,
على التوالي,in a row,,,لليوم السادس على التوالي
على التوالي,in a row,,,
وفقا لمبادئ,in accordance with the principles of,,,الاحترام المتبادل والمصالح المستركة
إلى جانب,in addition to,,,
بالأسود والأبيض,in black and white,,,
في أَسر,in captivity,,,
في امتثال,in compliance,,,تطلع إليه *.
بالجُرم المشهود,in flagrante delicto,,,
بشكل عام,in general,,,
بصفّة عامة,in general,,,
بصورة عامة,in general,,,
بحسن النية,in good faith,,,
في مسيرته,in his career,,,هذا هو الفوز الرابع له في مسيرته
تكريما ل,in honor of,,,
تنفيذا ل,in implementation of,,,قرار مجلس الأمن
في ضوء,in light of,,,
في ظل,in light of,,,
في تقريري,in my opinion,,,
بمعنى آخر,in other words,,,معنى
تمهيداً ل,in preparation for,,,
على ملء,in public,,,
بناءً على,in response to,,,بناءً على طلب
في الكتمان,in secret,,,قوة هذه العواطف * لا في البوح
بالتصوير البطيئ,in slow motion,,,
رغم أنفه,in spite of him,,,
شرقية البلاد,in the east,,,
في العلن,"in the open
",,,
في معترك,in the realm of,,,الانتخابات الرئاسية
أُسوة بـ,in the same manner as,,,
على إثر,in the wake of,,,
حق مشروع,inalienable right,,,
غير ملائم,inappropriate,,,
خطاب القسم,inaugural address,,,
قنبلة حارقة,incendiary bomb,,,
حافز على,incentive to,حوافز على,incentives to,
التحريض على,inciting,,,
توغُّل في,incursion into,,,
مصادر سيادية,independent sources,,,كشفت * مسئولة
استهانة ب,indifference to,,,استهان بخصمه
لا مبالي,indifferent,,,
عُسر الهضم,indigestion,,,عسر
هجمات عشاوئية,indiscriminate attacks,,,
غير فعال,ineffective,,,
سن الرضاعة,infancy,,,
قوات المُشاة,infantry,,,
الختان الشامل,infibulation,,,
نفوذ في,influence on,,,
منطقة عشوائية,informally-built area,,,
نظم المعلومات,information systems,,,
مطلِّع على,informed about,,,أحداث العالم
استعلام عن,inquiry,,,* أرقام قضايا
يرقات الحشرات,insect larvae,,,
رؤية ثاقبة,insight,,,
مستوحى من,inspired by,,,كلمات مستوحى من قصيدة
تنصيب برمجية,installing software,,,
وَجه القدم,instep,,,
جهاز الاستخبارات,intelligence community,,,الأمريكية
ممارسة الجنس,intercourse,,,
القروض الحسنة,interest-free loans,,,
أثار انتباهي,interested me,,,
حكومة مؤقتة,interim government,,,
حرف النداء,interjection,,,
أمراض الباطنية,internal medicine,,,
هجرة داخلية,internal migration,,,
زواج مختلط,interracial marriage,الزيجات المختلطة,interracial marriages,
مقابلة شخصية,interview,,,
انخراط في,involvement,,,
تورُّط في,involvement in,,,
العصر الحديدي,iron age,,,
يمثّل عقبة,is an obstacle,,,
يزداد فقراً,is getting poorer,,,
ليس سوى,is just,,,
لا يطاق,is unendurable,,,حتى الجنة لا تطاق بلا ناس وبلا عمل
عزلة عن,isolation from,,,
استصدار قرار,issuing a resolution,,,
على حسب,it depends,,,
ويُخشى أن,it is feared that,,,
من البديهي,it is obvious that,,,
الجدير بالذكر,It is worth mentioning,,,
يليق بي,it looks good on me,,,
ذهب سُدى,it was a waste of time,,,
ذهب سُدّى,it was in vain,,,
لحسن حظنا,it was our good fortune that,,,
جاء أن,it was reported that,,,
سرى مفعوله,it went into effect,,,
من المستحسن,it would be advisable,,,
حَبَّذا لو,it would be so nice if,,,
ثمنه باهظ,it's expensive,,,
يهطِل المطر,it's pouring,,,
فات الأوان,it's too late,,,
مبعوث متجول,itinerant envoy,,,
كانون الثاني,January,,,
غيور من,jealous of,غُيُر,jealous people,
قنديل البحر,jellyfish,,,
يا للهول!,Jesus!,,,
الوصف الوظيفي,job description,,,
وظيفة خالية,job opening,,,
وظيفة شاغرة,job opening,,,
يوحنا المعمدان,John the Baptist,,,
شركة مساهمة,joint stock company,,,
السطلة القضائية,judicial authority,,,
جمادى الأول,Jumada I,,,
جمادى الثاني,Jumada II,,,
نط الحبل,jumping rope,,,
لجنة المحلفين,jury,,,تستثني اليوم محاكم الولايات والمحاكم الفدرالية، على حد سواء، غير المواطنين من المشاركة في لجنة المحلفين
أُسوةً ب,just like,,,
تابع النظر,keep looking,,,
لوحة المفاتيح,keyboard,,,
حَصوة الكلية,kidney stone,حصيات الكلية,kidney stones,
روضة الأطفال,kindergarden,,,
صلة الدم,kinship,,,
صلة الدم,kinship ties,,,
صلة الرحم,kinship ties,,,
غزير علمه,knowledgable,,,
إضراب عمالي,labor strike,,,
نِقابة عمالية,labor union,نقابات عمالية,labor unions,
السيدات والسادة,ladies and gentlemen,,,
أعرج، عرجاء,lame,عُرُج,lame people,
بطة عرجاء,lame duck,,,
عذر مخفف,lame excuse,أعذار مخففة,lame excuses,
التعرية للأرض,land erosion,,,
لغم أرضي,land mine,ألغام أرضية,land mines,
مدفن قمامة,landfill,,,
مالك الشقة,landlord,,,
سائل الغسيل,landry detergent,,,
أنزلاقات أرضية,landslides,,,
حاسوب محمول,laptop,,,
التهاب الحنجرة,laryngitis,,,
مرض نائم,latent disease,,,
إنفاذ القانون,law enforcement,,,
شكرة مُحاماة,law firm,شركات المحاماة,law firms,
في تراخ,lazily,,,
الاشجار المورقة,leafy-green trees,,,
سنة كبيسة,leap year,,,
دعني وشأني,leave me alone,,,
الإجهاض المباح,legal abortion,,,
مستشار قانوني,legal advisor,,,
مرافعة قانونية,legal argument,,,تعليق وأقوال محامٍ أمام القاضي
إجراء تشريعي,legislative action,,,
السلطة التشريعية,legislative branch,,,
هيئة تشريعية,legislature,,,
مطالب مشروعة,legitimate demands,,,
الصوم الكبير,Lent,,,
أقل حظا,less fortunate,,,
مخافة أن,lest,,,
نهيكَ عن,let alone,,,
فلنفرض جدلا,let us suppose for the sake of argument,,,
الحقنة القاتلة,lethal injection,,,
سرطان الدم,leukemia,,,
رغبة جنسية,libido,,,
أمين مكتبة,librarian,,,
لوحة معدنية,license plate,,,حملات مرورية لضبط الدراجات البخارية بدون (لوحات معدنية)
الدنيا تسير,life goes on,,,
السجن المؤبد,life in prison,,,
سترة النجاة,lifejacket,سترات النجاة,lifejackets,
طوق النجاة,lifeline,,,
رفع العقوبات,lifting sanctions,,,
على غرار,like,,,
مثل الطَود,like a mountain,,,رأى عاشور واقفا أمامه *.
ليمون حامض,lime,,,
الحجر الجيرى,limestone,,,
محصور على,limited to,,,
همزة وصل,"link, liason",,,
أحمر الشِفاة,lipstick,,,
غاز مسال,liquefied gas,,,
أنصت لي,listen to me,,,
شيئاً فشيئاً,little by little,,,
الحركة الحية,live action,,,
ذخيرة حية,live ammunition,,,
رصاص حي,live ammunition,,,
بث حي,live stream,,,
غرفة جلوس,living room,,,
أهداف سامية,lofty purposes,,,
المنطق يقول,logically,,,
حب للحياة,love for life,,,
رسالة غرامية,love letter,,,
ارتفاع منخفض,low altitude,,,
مساكن شعبية,low cost housing,,,
أبواب وطيئة,low doors,,,
وزن خفيف,low weight,,,
تحت راية,"loyal to, under",,,
ماء فاتر,lukewarm water,,,
كسوف القمر,lunar eclipse,,,
ساعي البريد,mailman,سعاة البريد,mailmen,
سوية المصداقية,maintaining credibility,,,
أوسعوا الطريق,make way,,,
مركز تسوق,mall,مراكز تسوق,malls,
قابل للتطويع,malleable,,,
نقص التغذية,malnutrition,,,
حيوان ثدي,mammal,ثدييات,mammals,
عضو منتدب,managing director,,,
بيان رسمي,manifesto,,,
العمالة اليدوية,manual labor,,,
عصابات مغيرة,marauding gangs,,,
مسيرات بمشاركة,marches including,,,
الحياة الزوجية,marital life,,,
الحالة الإجتماعية,marital status,,,
الفنون القتالية,martial arts,,,
الحكم العرفي,martial law,,,
هضبة المسادا,Masada,,,تسلقت
الفضائع الجمعية,mass atrocities,,,منع
إعدامات جماعية,mass executions,,,
مقبرة جماعية,mass grave,مقابر جماعية,mass graves,
مظاهرات حاشدة,mass protests,,,
مظاهرات عارمة,mass protests,,,
الرأس المدبر,mastermind,,,
سن الإدراك,maturity,,,
جل شأنه,may he be exalted,,,
مضيف الحفل,MC,,,
أجر زهيد,meager wages,,,
أجر ضئيل,meager wages,,,
أم القُرى,Mecca,,,
مكة المكرمة,Mecca,,,
عناية طبية,medical attention,,,تطلب (عناية طبية)تحت (عناية طبية)دون (عناية طبية)
فحص طبي,medical exam,,,
العلاج الدوائي,medication,,,
المدينة المنورة,Medina,,,
نُصب تذكاري,memorial,,,
بطاقة ذاكرة,memory card,,,
التهاب السحائي,meningitis,,,
الحُمى الشوكية,meningitis,,,
إنقطاع الطمث,menopause,,,
سن اليأس,menopause,,,
ألم الحيض,menstrual pain,,,
متخلّف عقليا,mentally disabled,,,
بلاد الرافدين,Mesopotamia,,,تداولوا بالتجارة مع مصر وبلاد الرافدين قبل 3400 سنة
التمثيل الغذائي,metabolism,,,
منهجية العمل,methodology,,,
لاقط الصوت,microphone,,,
إصبع أوسط,middle finger,,,
الإدارة الوسطى,middle managers,,,
منتصف الليل,midnight,,,
إحصاءات المهاجرين,migration statistics,,,
طقس لطيف,mild weather,,,
طقس معتدل,mild weather,,,
جماعة مسلحة,militant group,جماعات مسلحة,militant groups,
القوة العسكرية,military force,,,
الحاكم العسكري,military governor,,,
الخدمة العسكرية,military service,,,
محاكمة عسكرية,military trial,,,
مسيرة مليونية,million-man march,,,
الأكل الطائش,Mindless eating,,,
كاسحة الألغام,mine sweeper,,,
حقل ألغام,minefield,حقول ألغام,minefields,
تقليل تهديد,minimizing a threat,,,
وزارة الزراعة,ministry of agriculture,,,
وزارة الدفاع,ministry of defense,,,
وزارة المالية,ministry of finance,,,
وزارة الصحّة,ministry of health,,,
وزارة العدل,ministry of justice,,,
وزارة الداخلية,ministry of the interior,,,
حقوق الأقلية,minority rights,,,
معاملة قسوة,mistreatment,,,
عارض أزياء,model,,,
الطب الحديث,modern medicine,,,
