Arabic,English,Arabic Pl,English Pl,Example
لا أستطيع أن أشدد بما فيه الكفاية على أن,I can’t emphasize enough that,,,أمن إسرائيل يتصدر جدول أعمالنا
لا أجد أكثر من الشكر والتحية والامتنان ل,I couldn't be more grateful to,,,
لم أستطع أن أكتم ضحكتي,I couldn't contain my laughter,,,
لم أَجرُؤ أن أسأل,I didn't dare to ask,,,له عما مكتوب فيه
لم أفعل ذلك استخفافا,I didn't do so lightly,,,
لا أظن أنهم فعلوا ذلك عمدا.,I don't think they meant to.,,,
إني أرثى لك.,I feel sorry for you.,,,
لم أرها حزينة بهذا الشكل من قبل,I had never seen her so sad,,,
أعرف بالمصادفة عدة لغات,I happen to know a few languages,,,
أنا برفقة ٤ رجال,I have 4 men with me,,,
لقد أعربت عن قلقي إزاء,I have expressed my concern about,,,
ليست لدي أدنى فكرة,I have no idea,,,
لا ناقة لي فيها ولا جمل,I have nothing to do with this,,,
عندي شيء أقوله لك,I have something to tell you,,,
يتعين عليّ أن أقول إن,"I have to say, that",,,
كنت متأكدا طوال الوقت,I knew it all along,,,
أعرف عن يقين أن,I know full well that,,,
تركت له الخيار,I let him choose,,,
ربما لن أراها أبدا,I might never see her again,,,
لا يفوتني أن,I must say that,,,
ما خطر ذلك ببال.,I never thought of that.,,,
أنا مدين له بحياتي,I owe him my life,,,
أعدت قراءة الكتاب,I re-read the book,,,
أقضي سحابة نهاري,I spend all my time,,,لقد توجهت إلى المتحف وقضيت سحابة نهاري أتأمل شباباً يفترشون الأرض ويرسمون،
أتعاطف مع قضية,I sympathize with,,,
في هذه المناسبة,I take this opportunity to,,,أتوجه * لأشقائنا السوريين
أعتقد أنه ينبغي اتخاذ خطوات ل,I think steps must be taken to,,,
أستخدم بعناية هذه العبارة,I use that word carefully,,,
حتى أكون واضحا,I want to be clear,,,
أريد أن أطرح نقطة.,I want to suggest something.,,,
كنت على يقين أن,I was sure that,,,
سأصّلي من أجله,I will pray for him,,,
كنت أتمنى لو أني رأيتها,I wish I had seen her,,,عندما زرتك
أتمنى لو كنت مع أمي.,I wish I was with my mom.,,,
أود أن أُلفِت النظر إلى أن,I would like to point out,,,
أودّ أن أوضّح نقطة,I'd like to clarify that,,,
أتوجه بالشكر إلى ل,I'd like to thank (s.o.) for,,,
سوف أتركك تعيش,I'll let you live,,,
سأعيد قراءة الكتاب.,I'll re-read the book.,,,
سأعتبر ذلك مجاملة.,I'll take that as a compliment.,,,
ذهني أصبح أكثر صفاوة,I'm a lot clearer about,,,
أخشى من أنني,I'm afraid that,,,
يسعدني سعادة بالغة أن أرحّب ب,I'm delighted to welcome,,,
أبذل خير ما عندي,I'm doing the best I can,,,
أنا حر في أن أفعل ما أشاء.,I'm free to do what I want.,,,
أنا مسرور بأداء فريقي,I'm happy with how we played,,,
إن كنت تسمعني,I'm hoping you can hear me,,,
أنا لست أفضل من غيري,I'm no better than anyone else,,,
أشعر بالتفاؤل إزاء,I'm optimistic about,,,النتيجة
أنا متأسف للسؤال,I'm sorry for asking,,,
لك أخلص أعذاري,I'm very sorry,,,
لقد سبق وأن قلت لك,I've already told you,,,
لطالما تمنيت أن أكون,I've always wanted to be,,,دكتورا
لم أكن مع أحد سواك,I've been with no one else,,,
لقد أوضحت أن,I've made it clear that,,,
رأيت ما هو أسوأ,I've seen worse,,,
لقد كان لي شرف,I’ve had the privilege of,,,على الكثير من الناس هنا
ماء باردة كالثلج,ice cold water,,,
التزحلق على الجليد,ice-skating,,,
إذا سنحت له الفرصة,if he gets the chance,,,
إذا اقتضت الحاجة,if need be,,,
إن لم يكن,if not,,,مئات * آلاف
لو أني أعرف,If only I knew!,,,ألا توجد طريقة للتخلص منه
هذا إن دل على شيء فدل على,"if that means anything, it's",,,
إذا توافر لهم الحظ,if they get lucky,,,
إذا كان لهذه العملية أن تستمر,if this process is going to continue,,,
من طلب العلا سهر الليالي,"If you want to go far, you've got to pay your dues",,,
من يجتهد ينجح,"If you work hard, you will suceed",,,
مهاجر غير شرعي,illegal immigrant,مهاجرون غير شرعيين,illegal immigrants,
الهجرة غير الشرعية,illegal immigration,,,
الكسب غير المشروع,illicit gain,,,
صندوق النقد الدولي,IMF,,,
في فترة تتراوح ما بين ٣ إلى ٦ أشهر,in 3 to 6 months,,,
كل ما في الأمر,in a nutshell,,,
خلال اتصال هاتفي,in a phone call,,,
على صعيد آخر,in a separate development,,,
في خطوة مفاجئة,In a surprise move,,,
في حالة مروعة,in an appalling state,,,
في حدّ ذاته,in and of itself,,,
بشتى الوسائل والطرق,"in any way, shape, or form",,,
في غرفتي البرلمان,in both houses of Parliament,,,
على العكس من ذلك,In contrast,,,
بحاجة حرجة إلى,in desperate need of,,,
بحاجة ماسة إلى,in dire need of,,,
بحاجة ملحة إلى,in dire need of,,,
شديد الحاجة إلى,in dire need of,,,
في صالح الجميع,in everyone's interest,,,
في حالة هبوت حاد,in free fall,,,
على قدم وساق,in full swing,,,يسير
في السَرّاء والضَرّاء,in good times and bad,,,
في خطر جسيم,in grave danger,,,
في مسقط رأسه,in his home town,,,
على حد تعبيره,in his words,,,
على حد قوله,in his words,,,
على حد وصفه,in his words,,,
في المقعد الخلفي,in last place,,,
بتقديري | في تقديري,in my opinion,,,
فيما لا يزيد عن,in no more than,,,
بصورة واضحة لا لبس فيها,in no uncertain terms,,,أريد أن أعبّر بصورة واضحة لا لبس فيها
كي يتسنى له أن,in order to,,,كان يتصل به * يشرح ما حدث.
في عبارة أخرى,in other words,,,
في أوقات فراغنا,in our free time,,,
على وجه التحديد,in particular,,,
على وجه الخصوص,in particular,,,
صاحب المركز الثاني,in second place,,,
على الرغم من كل هذا,in spite of all that,,,
من تحصيل الحاصل أن يقال,in summary it may be said,,,
في غمضة عين,in the blink of an eye,,,
في جوف الليل,in the dead of night,,,تسلم الروح *.
في نحاية المطاف,in the end,,,
في المقام الأول,In the first place,,,
من بادئ الأمر,in the first place,,,إن كنت...
على المدى الطويل,in the long run,,,
في الأمد الطويل,in the long run,,,
في تلك الأثناء,in the meanwhile,,,
في غضون ذلك,in the meanwhile,,,
في القريب العاجل,in the near future,,,
في غابر الأيام,in the old days,,,
في الاتجاه المعاكس,in the opposite direction,,,
في الحياة الواقعية,in the real world,,,
في ذات المكان الذي,in the same place,,,
في الألف الثانية قبل الميلاد,in the second century bc,,,
بين رمشة عين وعين,in the twinkling of an eye,,,
من دون جدوى,in vain,,,
حِبر على ورق,in writingon paper,,,
حق لا يمكن انكاره,inalienable right,,,
مادة تصيب بالعجز,incapacitating agent,,,
بما في ذلك,including,,,في أي مكان * سوريا
بما في ذلك,including,,,
لا يتماشى مع,inconsistent with,,,
رفع منسوب الأمل لدى,increasing the hopes of,,,
مع تنامي مخاوفهم أن,increasingly concerned that,,,مع تنامي مخاوف المصريين أن
لأجل غير مسمى,indefinitely,,,
شعور لا يوصف,indescribable feeling,,,
الختان المانع للجماع,infibulation,,,
ارتفعت معدلات التضخم,inflation increased,,,
الأشعة تحت الحمراء,infrared radiation,,,
عوضا عن ذلك,"instead,",,,
عقبات لا يمكن تخطيها,insurmountable difficulties,,,
تقديرات عدد السكان بين التعدادات,intercensal population estimates,,,
الصواريخ البالستية العابرة للقارات,intercontinental ballistic missiles,,,
الاتفاقية الدولية للأشخاص ذوي الإعاقة,International Convention for Persons with Disabilities,,,
السلم والأمن الدوليين,international peace and security,,,حفظ
على الساحة الدولية,internationally,,,
لا يقدر ثمنه,invaluable,,,
فتح الباب ل,inviting,,,
ملف إيران النووي,Iran's nuclear dossier,,,
سعي إيران لامتلاك أسلحة نووية,Iran’s pursuit of a nuclear weapons capability,,,
أدلة دامغة على,irrefutable evidence of,,,قُدمت * اتخدامهم لأسلحة كماوية
قرار لا رجعة عنه,irreversible decision,,,
يتصدر جدول أعمالنا,is at the top of our agenda,,,أمن إسرائيل
لم يعد موجوداً الآن,is gone,,,
ليست سوى مؤامرة سياسية,is just a political conspiracy,,,
ليس نهاية المطاف,is just the beginning,,,بل هو البداية
لا يصُبّ في مصلحة,is not in the interest of,,,
ليس من مسؤولية الحكومة,is not the government's responsibilty,,,
بات أمرا ممكنا,is now possible,,,
ألا يكفي هذا؟,Is that not enough?,,,
لا يعكس واقع الأمور,is unrealistic,,,
لا أساس له من الصحة,is untrue,,,ما تناولته وسائل الإعلام *
موجود معنا في هذه الأمسية,is with us tonight,,,
أليس هذا هو سره؟,Isn't that what it's all about?,,,أليس هذا سر التحدث على الملأ؟
مزود خدمة الانترنت,ISP,,,
إسرائيل لا تزال ملتزمة بجميع التفاهمات,Israel continues to honor all understandings,,,
من نافل القول أن,it goes without saying that,,,
لا علاقة له بالأمر,it has nothing to do with this,,,
يبلغ طوله قدم,it is a foot tall,,,
يبلغ عمقه متر,it is a meter deep,,,
من الجلي أن,it is clear that,,,
من المحتم عليه,it is imperative,,,
لا سبيل إلى الشك فيه,it is indisputable,,,
من الإهانة أن,it is insulting that,,,
من دواعي سروري,it is my pleasure,,,
يصح أن يقال فيه,it is rightly said of him,,,
هذا يوم كئيب ل,it is sad day for,,,
لا يجوز ل,it is unacceptable for,,,
الأمر جدّي للغاية,it is very serious,,,
من المستبعد جدا أن,it is very unlikely that,,,
تجدر الإشارة إلى أن,it is worth mentioning that,,,
قد يكون من المبكر الحديث عن,it may be too early to tell if,,,
والحق يقال إن,it may be truly said that,,,
لم يخطر بباله,it never occurred to him,,,
بُرمة الشراكة لا تفور,it pays to have friends,,,
ذهب عنه أن,it slipped his mind that,,,
كان موقع مسؤوليته,it was his responsibility,,,
ورد ذكره في,it was mention in,,,* كتب
لقد فاتني أن أكون ملاكا,It was too late for me to be an angel,,,
الدنيا لن تطير,It won't be the end of the world,,,
سيكون من الوقاحة,it would be rude,,,ألا تفعل
لقد تجاوز الوقت منتصف الليل,it's after midnight,,,
إنه شرف لي أن,It's an honor for me to,,,
كل تأخيرة وفيها خيرة,it's better late than never,,,
الأمر ليس بالسهل,it's far from easy,,,
يجب التمييز بين,it's important to distinguish between,,,
مثله مثل الكتاب تماما,it's just like a book,,,
إما الآن أو أبدا,It's now or never.,,,
دوره المنوط به,it's supposed role,,,قيام مجلس الأمن بـ*
هذا أقل من الواجب,it's the least I could do,,,
من دواعي سروري دائمًا,It’s always a pleasure for me,,,أن أقوم بالزيارة
يسعدني أن نستضيفك مجددًا,It’s good to have you again,,,
في الحركة بركة,it’s good to stay on the move,,,
من دواعي سروري أن أرحّب بك مرة أخرى,it’s good to welcome you back,,,
لا يخلو من فائدة,it’s quite useful,,,
مردودها على الأسرة,its effects on the family,,,
أداة منع الحمل,IUD,,,
الحسد لا يسود,jealousy never pays,,,
ينضمّ إلينا عبر الهاتف,joins us over the phone,,,
القفز إلى استنتاجات سريعة,jumping to conclusions,,,لا يجوز
على نفس القدر من الأهمية,just as significant,,,
فما بالك لو كان,just imagine,,,
كما في الأيام الخوالي,just like the old days,,,
ابعد عن الشر وغن له,keep clear of evil and sing out to it,,,
مع الوضع في الاعتبار أن,keeping in mind that,,,
الحفاظ على السلام,keeping the peace,,,
حركة كفاية المعارضة,kifaya opposition movement,,,
الرجاء ربط حزام السلامة,kindly fasten your seat-belt,,,
أخيرا وليس آخرا,last but not least,,,
أخيرا وليس آخلا,last but not least,,,
مثير للتهكم والسخرية,laughable,,,وأصبح عدد الكتب المنقولة إلىالعربية
خالي من الرصاص,lead-free,,,وقود *
الصيغة الشرعية على الإجهاض,legal abortion,,,
أعود إليك مرّةً أخرى,let me come back to you,,,
اسمحوا لي أن أتخذ الفرصة ل,let me take this opportunity to,,,
يجب أن نكون صادقا,let's be honest,,,
لنلقي نظرة على,let's take a look at,,,
السجن مدى الحياة,life in prison,,,
استعادت الحياة إلي طبيعتها,life is back to normal,,,
الدنيا ليست مثالية,life isn't perfect,,,
النور يشعشع في,light beams in,,,
هذا الشبل من ذاك الأسد,like father like son,,,
كأنه لمع البرق,like lightening,,,
مثل أشعة الظهيرة,like the noon day sun,,,أشعلت حواسه فتدفق شبابه *.
مثل الرئيس بالذات,"like the President, himself",,,
مثلما كنا نفعل في القديم,like we used to do,,,حين خرجنا معا *
تحديد فترة الرئاسة,limiting presidential terms,,,
عملية شفط الدهون,liposuction,,,
أهل مكة أدرى بشِعابها,locals know best,,,
البحث عن إبرة في كوم قَش,looking for a needle in a haystack,,,
أعمال السلب والنهب,looting,,,
من حسن حظه,luckily,,,* أنه استطاع أن يجتاز هذه المحنة
هذا من حسن حظي,lucky for me,,,
جعلهم أكثر حساسية,made them more sensitive,,,
السعي وراء القرش,making a living,,,
من النوع الخبيث,malignant,,,ورم
القتل غير العمد,manslaughter,,,
وسائل الإعلام الجماهيرية,mass media,,,
سدّد الله خطاكم,may god guide your footsteps,,,
دول حوض البحر الأبيض المتوسط,Mediterranean countries,,,
صهر أسطح حبيبات الرمل,melting grains of sand,,,
عدم الاستقرار العقلي,mental instability,,,
اجتمع مع نظيره الروسي,met with his Russian counterpart,,,
في أواسط العمر,middle-aged,,,
مقاتلو الحشد الشعبي,militia fighters,,,
قبل ملايين السنين,millions of years ago,,,
الحدّ الأدنى للأجور,minimum wage,,,
وزارة الخدمة المدنية,ministry of civil services,,,
وزارة الاتصالات والنقل,ministry of communications and transportation,,,
وزارة الاقتصاد والتخطيط,ministry of economics and planning,,,
وزارة التربية والتعليم,ministry of education,,,
وزارة الطاقة والثروة المعدنية,ministry of energy and mineral resources,,,
وزارة الصناعة والتجارة,ministry of industry and trade,,,
وزارة الأوقاف والشؤون الاسلامية,ministry of Islamic affairs and endowments,,,
وزارة الأشغال العامة والإسكان,ministry of public works and housing,,,
وزارة السياحة والآثار,ministry of tourism and antiquities,,,
وزارة الموارد المائية والري,ministry of water resources and irrigation,,,
خطأ في حسابات,miscalculation,,,
يعُدّ مبارك أول رئيس في مصر يخلعه الشعب,Mobarak is the first Egyptian president to be deposed in a popular uprising,,,
حشد الإرادة السياسية العالمية,mobilizing global political will,,,
الاعتدال يتمثل في أن,moderation means,,,نفكر بطريقة معتدل
وقت أكثر وأكثر,more and more time,,,أعمالي الإدارية تأخذ منى * كل سنة
بشكل أوسع نطاقاً,more broadly,,,
المزيد من شيء,more of s.th.,,,التحديات
أكثر من ذي قبل,more than before,,,
أكثر من المعتاد,more than usual,,,
علاوة على ذلك,moreover,,,
أكبر مدينة اكتظاظا بالسكان,most densely populated city,,,ثاني *
والأهم من ذلك كله,most of all,,,
يسيل له اللعاب,mouth-watering,,,
تحرّك مرتكز ل,movement focused on,,,
زوبعة في فنجان,much ado about nothing,,,
من الواضح أن الكثير من مناقشتنا تركز على,Much of our discussion obviously focused on,,,
مدفعيات مختلفة الأعيرة,multi-gauge cannon,,,
مجتمع متعدد الثقافات,multicultural society,,,
إمرأة متعددة الحمل,multigravida,,,
شركة متعددة الجنسيات,multinational corporation,,,
التصلب اللويحي المتعدد,multiple sclerosis,,,
التهاب الغدة النَكافية,mumps,,,
وصيتي إليك أن,my advice for you is,,,* تعيش في بلاد بره كما عيشت هنا
أختم معك هذا المحور بسؤال,my last question is,,,
أتوجّه بعميق شكري ل,my sincerest thanks to,,,
منتدى الحوار الوطني,National Dialogue Forum,,,
حكومة إنقاذ وطني,national salvation government,,,
نهر صالح للملاحة,navigable river,,,
أصوات غير موافقة,nays (votes against),,,
ما يقارب من,nearly,,,
قرابة 30 مليون شخص,nearly 30 million people,,,
العصر الحجري الحديث,neolithic age,,,
لم يسبق أن,never before has,,,لم يسبق في تاريخ الثورات أن احتاجت ثورة إلى قانون للتظاهر
ليلة رأس السنة,New Year's Eve,,,
لم يتأثر بأذى,no harm came to him,,,
لم يصب بأذى,no harm came to him,,,
لن يصيبك أي أذى,no harm will come to you,,,
في موعد لا يتجاوز,no later than,,,
ما لا يقلّ عن,no less than,,,
لا داعي لهذا,no need for that,,,
لم يكترث أحد.,No one cared.,,,
لا أحد يعلم بأمرهم,no one knows about them,,,
لم ينبِس أحد,no one spoke,,,
لا يمت له بصلة,no relation to him at all,,,كان مجرد غريب *.
لا أحد يأبَه ل,nobody cares about,,,
لكل جواد كبوة,nobody’s perfect,,,
ميثاق عدم اعتداء,non-aggression pact,,,
الموظّفون غير الأساسيون,non-essential personnel,,,
عدم التدخل في الشؤون الداخلية,non-interference in internal affairs,,,
غير قابل للتفاوض,non-negotiable,,,
رسوم غير مستردة,non-refundable fees,,,
افريقيا شمال الصحراء,North Africa,,,
لا يستطيع كل من هب ودب,not just anyone can,,,المعاني لا يستطيع كل من هبّ ودبّ أن يدركها
لا يقوى على,not strong enough to,,,كيان هش لن (يقوى على) البقاء
ليس من طينة الرجال الذين,not the kind of man who,,,* يقتلون
لا شيء البتة,nothing at all,,,
لا أكثر ولا أقل,"nothing more, nothing less",,,
على نحو ملحوظ,noticeably,,,استجاب
الاستخدام مرّات عديدة,numerous uses,,,
طعام ذو قيمة غذائية,nutritious food,,,
ذات الطابع العسكري,of a military nature,,,
عن طيبة خاطره,of his own good will,,,
من صنع أنفسنا,of our own creation,,,نحن أكاذيب (من صنع أنفسنا).
على جانب عظيم من الأهمية,of the utmost importance,,,
أيها الحفل الكريم,oh noble gathering,,,
على ما يرام,okay,,,
التعليم في الصغر كالنقش على الحجر,old habits die hard,,,
من شب على شيء شاب عليه,old habits die hard,,,
في شأن آخر,on a different note,,,
على قدم المساواة,on equal footing,,,
سيرا على الأقدام,on foot,,,سنذهب إلى المدرسة سيرا على الأقدام
على أُهبة الاستعداد,on full alert,,,
من تلقاء نفسه,on its own,,,تهاوى السد من تلقاء نفسه
في هذا المقام,on that note,,,
من هذا الخصوص,on that note,,,
على أساس أن,on the basis that,,,
على نقيض ذلك,on the contrary,,,
على شبكة الإنترنت,on the internet,,,
في الجهة المقابل,on the other hand,,,
من جانب آخر,on the other hand,,,
من جهة أخرى,on the other hand,,,
من ناحية أخرى,on the other hand,,,
على وجه الأرض,on the planet,,,
على وشه الأرض,on the planet,,,
على البساط الأحمر,on the red carpet,,,كبار نجمات هوليوود
في السياق نفسه,on the same topic,,,
في الملف نفسه,on the same topic,,,
مطروح على الطاولة,on the table,,,الخيار العسكري
على طَرف لساني,on the tip of my tongue,,,
على شفا ال,on the verge of,,,
في الطريق نحو الأعلى,on the way up,,,
واحدا تلو الآخر,one after another,,,
كل واحد بدوره,one by one,,,
في أحد الأيام,one day,,,
أب من أصل كل خمسة,one in five fathers,,,يقول إن ابنه
مصائب قوم عند قوم فوائد,one man's trash is another man's treasure,,,
فريد من نوعه,one of a kind,,,
من أصدقائه المقربين,one of his closest friends,,,
من أعلى الأفلام تحقيقا للإيرادات,one of the highest grossing films,,,"يعتبر فيلم ""أفاتار"" *"
إحدى أعلى نسب ال,one of the highest rates of,,,في العالم
من أشهر المصورين في العالم,one of the most famous photographers in the world,,,
من أشدّ المنتقدين ل,one of the strongest critics of,,,
بشكل أو بآخر,one way or another,,,
بطريقة أو بأخرى,one way or another,,,
ليس للضمير الإنساني أن يرتاح وهو يرى,one's conscience cannot rest with,,,
إلا للضرورة القصوة,only if absolutely necessary,,,
تاريخ نمو الكائن الحي,ontology,,,
فتح منابر للحوار,open windows for dialogue,,,نسعى لأن * الثقافي
مقموع من قبل,oppressed by,,,السود مقموعون من قبل البيض
معدل النمو الأمثل,optimum rate of growth,,,
أو أكثر من ذلك,or more,,,
على ما يبدو,or so it seems,,,
أو ما شابهه,or something like that,,,
أو على الأصح,"or, rather",,,
انتقال منظم للسلطة,orderly transition of power,,,
منظمة الدول المصدّرة للنفط,Organization of the Petroleum Exporting Countries (OPEC),,,
تقرير مراسلنا من,our correspondent reports from,,,
اعتاد والدنا القول إن,our father used to tell us that,,,
خارج أرضية الملعب,out of bounds,,,
خوفاً من القتل,out of fear for their lives,,,
من باب الأدب,out of politeness,,,
بعيد عن العين بعيد عن القلب,out of sight out of mind,,,
على حين ذرة,out of the blue,,,
على مر العقود الماضية,over the last few decades,,,
على مدى السنوات الأخيرة,over the last few years,,,
الإفراط في التسميد,overfertilization,,,
الصيد الجائر للأسماك,overfishing,,,
الوقت بدل الضائع,overtime,,,سجل هدفين في *
تآكل طبقة الأوزون,ozone layer depletion,,,
تكنولوجيا غير ضارة بالأوزون,ozone-friendly technology,,,
السلطة الوطنية الفلسطينية,Palestinian National Authority,,,
شطرا من الليل,part of the night,,,النهار كله و*
تمرير الشعلة إلى,passing the torch to,,,إلى جيل جديد
إنتقال سلمي للسلطة,peaceful transfer of power,,,
على ذمة التحقيق,pending investigations,,,احتحز
لحين الإحالة إلي المحاكمة,pending trial,,,يودع في الحجز الإحتيطاتي
المتقاعدون على المعاش,pensioners,,,
جاءوا من كل حدب وصوب,people came from far and near,,,
الناس من كل حدب وصوب,people from all over the world,,,
إذا كان بيتك من الزجاج فلا تقذف الآخرين بالطوب,people who live in glass houses shouldn't throw stones,,,
الناتج المحلي الإجمالي للفرد,per capita GDP,,,
نصيب الفرد من استخدام الطاقة,per-capita energy consumption,,,يعد أقل من أي ولاية أخرى
في كامل عقله,perfectly sane,,,إنني رجل (في كامل عقلي)، مسالم
صاحب البشرة السمراء,person of color,أصحاب البشرة السمراء,people of color,
شخص غير مرغوب فيه,persona non grata,,,
أصحاب الحل والعقد,persons of influence,,,
أولو الحل والعقد,persons of influence,,,
ضباط شرطة بالملابس المدنية,plainclothes police officers,,,
الرجاء عدم الإزعاج,please do not disturb,,,
أرجوك استمع إلي,please listen to me,,,
نرحب بأي استفسار,"Please, don't hesitate to contact us",,,* قد يعن لكم أثناء كتابة التقرير
السياسة تجاه إيران,policy towards Iran,,,
قضية ذات بعد سياسي,political issue,قضايا ذات بعد سياسي,political issues,
الجبهة الشعبية لتحرير فلسطين,Popular Front for the Liberation of Palestine (PFLP),,,
إعادة توزيع السكان,population redistribution,,,
رعاية ما بعد الولادة,post natal care,,,
الاضطراب ما بعد الصدمة,post traumatic stress,,,
مياه صالحة للشرب,potable water,,,
فحوص ما قبل الزواج,pre-marital examinations,,,
عن سبق الإصرار والترصد,premediated,,,
القتل مع سبق الإصرار والترصد,premeditated killing,,,
الحفاظ على وحدة,preserving the unity of,,,سوريا
الحفاظ على عدم إراقة الدماء,preventing bloodshed,,,
لا يُقدر بثمن,priceless,,,
حهة الاتصال الأولى,primary contact,,,
التربح من وراء الحرب,profiteering from war,,,
افاق مستقبلية واعدة,promising future prospects,,,
حماية الكرة الأرضية من الآثار السلبية للتغير المناخي,protecting the planet  from climate change,,,
أحكام ونصوص الدستور,provisions of the constitution,,,
تعادل القوة الشرائية,purchasing power parity,,,
أغراض سياسية محض,purely political objectives,,,
القضاء على الإرهاب,putting an end to terrorism,,,
الانضواء تحت راية,rallying around a flag,,,المنتصر
ذاكرة الوصول العشوائي,RAM,,,
قل ما وقع,rarely have there been,,,
إدارة رشيدة للنفايات,rational waste management,,,
مستعدّ لدخول مفاوضات مع,ready to negotiate with,,,
منذ فترة وجيزة,recently,,,
مياه الصرف المعالجة,reclaimed water,,,
كريات الدم الحمراء,red blood cells,,,
تقليل خطر ال,reducing the risk of,,,
إعادة الثقة بـ,regaining trust in,,,
بمعزل عن أن,regardless of whether,,,
تعاون على مستوى المنطقة بأثرها,region-wide cooperation,,,
أكّد رفضه التامّ لـ,reiterated his outright rejection of,,,
التخلي عن السلطة,relinquishing power,,,
التنازل عن السلطة,relinquishing power,,,
حاكم عن بعد,remote control,,,
الإعادة إلى الوطن,repatriation,,,
أعمال الإنقاذ والإغاثة,rescue and relief efforts,,,
كثافة المباني السكانية,residential density,,,
نم قرير العين,rest in peace,,,
استعادة الأمن والاستقرار,restoring security and stability,,,
عاد عودة مظفَرة,returned successfully,,,
إعادة النظر في,revisiting,,,
قنبلة يدوية تطلق بالبندقية,rifle grenade,,,
معدات مكافحة الشغب,riot gear,,,
شرطة مكافحة الشغب,riot police,,,
أكل وشرب ونوم,room and board,,,
عيد رأس السنة,Rosh Hashana,,,
بحر مضطرب الأمواج,rough seas,,,
الهجرة من الريف إلى الحضر,rural to urban migration,,,
أبدى شخص موافقه على,s.o. agreed to,,,قد أبدت موافقتها أخيرا على الزواج
شخص مكنّى باسم,s.o. AKA,,,
غفل شيء عن شخص,s.o. missed s.th.,,,
شخص خطير الشأن,s.o. of considerable importance,,,
إقالة شخص أو استقالته,s.o.'s dismissal or resignation,,,
شيء طال اختفاؤه,s.th. long lost,,,كأس المسيح الذي (طال اختفاؤه)
شيء لا يُغفَر,s.th. unforgivable,,,
القناعة كنز لا يفنى.,Satisfaction is gold.,,,
المملكة العربية السعودية,Saudi Arabia,,,
حالة التأهب الأمني,security alert level,,,
قرار مجلس الأمن,Security Council resolution,,,
إجراءات أمنية مشددة,security on high alert,,,
يبحث الاتفاق النهائي على,seeks to reach a final agreement on,,,
الفصل بين السلطات,segregation of powers,,,
الثقة في النفس,self confidence,,,
صاحب عمل خاص,self employed,,,
صاحب مهنة حرة,self employed,,,
زعيم الأغلبية في مجلس الشويخ,senate majority leader,,,
عضو مجلس الشيوخ,senator,أعضاء مجلس الشيوخ,senators,
أعمال عنف حمقاء,senseless acts of violence,,,
قرّق بينهما القدر,separated by fate,,,شقيقتان
كل على حدا,separately,,,
مرض منقول جنسيا,sexually transmitted infection,,,
مرض ينتقل بممارسة الجنس,sexually transmitted infection,,,
كات ذات عينين زرقاوين,she had blue eyes,,,* وشعر ذهبي.
هي حامل منه,she is carrying his baby,,,
منطقة ذات أغلبية شيعية,Shiite majority area,,,
شقيق أو شقيقة,sibling,,,
جنبا إلى جنب,side by side,,,
منذ توليّ لمنصبي,since I took office,,,
منذ فجر التاريخ,since the dawn of history,,,
منذ الأزمنة الأولى,since the dawn of time,,,
منذ البداية الأولى,since the very beginning,,,
وذلك جاء على خلفية عدم اعترافهم ب,since they do not recognize,,,
عمليات كر وفر,skirmishes,,,
تباطؤ النمو الاقتصادي,slow economic growth,,,
قنبلة ذاتية التوجه,smart bomb,,,
وقود عديم الدخان,smokeless fuel,,,
انتقال سلس للسلطة,smooth transfer of power,,,
ما دام الوضع هكذا,so long as this is the situation,,,
هذا القدر من المعاناة,so much suffering,,,
إن جاز التعبير,so to speak,,,
إن صح التعبير,so to speak,,,
إن صح التعبير,so to speak,,,
مواقع التواصل الاجتماعي,social media,,,
وسائل الإعلام الاجتماعية,social media,,,
بعض ما يعيشه من ظروف صعبة,some of his challenges,,,
هناك من يأتي من,some people come from,,,
مثل الأطرش في الزَفة,someone totally lost,,,
شيء يدعو إلى الدهشة,something astonishing,,,
اسم بلا مسمى,something existing in name only,,,
شيء من هذا القبيل,something like that,,,
استجد معه شيء,something new turned up,,,
شي لا يُكذر,something of no significance,,,
إنه يدعو للشك,something's fishy,,,
وذلك على خلفية الأحداث,soon after,,,
عاجلا أم آجلا,sooner or later,,,
التِهاب في الزور,sore throat,,,
مصدر إلهام ل,source of inspiration,,,
رئيس مجلس النوّاب,speaker of the house,,,
الزوج أو الزوجة,spouse,,,
التجسّس لصالح إيران,spying for Iran,,,
إهدار ثروات البلاد,squandering state wealth,,,
رفض بات وقاطع,square refusal,,,
الفولاذ المقاوم للصدأ,stainless steel,,,شبكة الأمان ستُصنع من *.
ابتداءً من اليوم,starting today,,,
أحدث ما ورد في هذا المجال,state of the art,,,
خطاب حال الاتحاد,State of the Union Speech,,,
مباحثات أمن الدولة,state security investigations,,,
جهاز أمن الدولة,state security service,,,
البقاء على قيد الحياة,staying alive,,,
التنحّي عن منصب,stepping down as,,,الرئاسة
التخلي عن الرئاسة,stepping down as president,,,
منع الإنسان من الإنجاب,sterilization,,,
ولادة جنين ميت,stillbirth,,,
طفل وُلد ميتا,stillborn,,,
التلعثم في الكلام,stuttering,,,يتغلب على * من خلال الهناء
أفريقيا جنوب الصحراء الكبري,Sub-Saharan Africa,,,
إفريقيا جنوب الصحراء,sub-Saharan Africa,,,
مثل هذا الرجل المرموق,such a distinguished man,,,
